"id","trial","direction","condition","corrAns","resp","corr","rt"
"sub-007",1,"right","speed","right","right",1,0.653702184004942
"sub-007",2,"left","speed","left","right",0,0.582185796985868
"sub-007",3,"left","speed","left","left",1,1.38683706297888
"sub-007",4,"right","speed","right","right",1,0.955037053994602
"sub-007",5,"left","speed","left","right",0,0.499012704996858
"sub-007",6,"right","speed","right","left",0,0.692695937003009
"sub-007",7,"left","speed","left","left",1,1.49113630902139
"sub-007",8,"right","speed","right","right",1,1.04961009102408
"sub-007",9,"left","speed","left","right",0,0.690777653013356
"sub-007",10,"right","speed","right","left",0,0.793062126002042
"sub-007",11,"right","speed","right","left",0,0.826860981993377
"sub-007",12,"left","speed","left","left",1,0.645988468982978
"sub-007",13,"right","speed","right","right",1,0.633164692000719
"sub-007",14,"left","speed","left","left",1,2.01240973698441
"sub-007",15,"right","speed","right","right",1,1.5446416180057
"sub-007",16,"left","speed","left","left",1,0.66791764300433
"sub-007",17,"left","speed","left","right",0,0.49759398799506
"sub-007",18,"right","speed","right","left",0,0.651215924997814
"sub-007",19,"left","speed","left","left",1,0.54309178199037
"sub-007",20,"right","speed","right","right",1,0.556620155985001
"sub-007",21,"left","speed","left","left",1,0.482719046995044
"sub-007",22,"right","speed","right","left",0,0.866801256983308
"sub-007",23,"right","speed","right","right",1,0.734800724982051
"sub-007",24,"left","speed","left","left",1,0.981428858009167
"sub-007",25,"right","speed","right","left",0,3.01500572101213
"sub-007",26,"left","speed","left","right",0,0.5192105419992
"sub-007",27,"left","speed","left","left",1,0.684477825998329
"sub-007",28,"right","speed","right","right",1,0.592772817995865
"sub-007",29,"left","speed","left","left",1,0.540998706012033
"sub-007",30,"right","speed","right","right",1,1.14444608500344
"sub-007",31,"left","speed","left","right",0,1.1182322090026
"sub-007",32,"right","speed","right","right",1,1.25441913600662
"sub-007",33,"right","speed","right","right",1,1.00140825900598
"sub-007",34,"left","speed","left","left",1,0.597766877006507
"sub-007",35,"right","speed","right","right",1,2.47431287300424
"sub-007",36,"left","speed","left","left",1,0.642220592009835
"sub-007",37,"left","speed","left","left",1,0.921200895012589
"sub-007",38,"right","speed","right","right",1,0.727403121010866
"sub-007",39,"left","speed","left","left",1,0.811052367003867
"sub-007",40,"right","speed","right","right",1,1.22109574198839
"sub-007",41,"right","speed","right","left",0,2.2658919460082
"sub-007",42,"left","speed","left","right",0,0.868154410010902
"sub-007",43,"left","speed","left","right",0,0.808670188009273
"sub-007",44,"right","speed","right","right",1,1.11031086900039
"sub-007",45,"left","speed","left","left",1,0.531891815015115
"sub-007",46,"right","speed","right","left",0,0.699613907985622
"sub-007",47,"left","speed","left","right",0,0.614715497998986
"sub-007",48,"right","speed","right","right",1,0.805975010007387
"sub-007",49,"right","speed","right","left",0,0.533303417993011
"sub-007",50,"left","speed","left","left",1,0.713745629996993
"sub-007",51,"left","speed","left","left",1,1.37226241998724
"sub-007",52,"right","speed","right","left",0,1.08692457800498
"sub-007",53,"left","speed","left","right",0,0.723483267996926
"sub-007",54,"right","speed","right","right",1,1.45105308300117
"sub-007",55,"left","speed","left","left",1,0.678455851011677
"sub-007",56,"right","speed","right","right",1,0.847352090000641
"sub-007",57,"left","speed","left","left",1,0.727591281989589
"sub-007",58,"right","speed","right","right",1,0.669435082003474
"sub-007",59,"left","speed","left","left",1,0.700507939007366
"sub-007",60,"right","speed","right","right",1,1.62527110398514
"sub-007",1,"left","accuracy","left","left",1,3.20253832699382
"sub-007",2,"right","accuracy","right","right",1,2.42907254400779
"sub-007",3,"left","accuracy","left","left",1,2.3741522480268
"sub-007",4,"right","accuracy","right","right",1,0.903776857012417
"sub-007",5,"left","accuracy","left","left",1,1.60178874499979
"sub-007",6,"right","accuracy","right","right",1,1.05315075500403
"sub-007",7,"right","accuracy","right","right",1,0.59169536299305
"sub-007",8,"left","accuracy","left","right",0,0.688827202015091
"sub-007",9,"left","accuracy","left","right",0,1.11094832100207
"sub-007",10,"right","accuracy","right","left",0,2.46708198799752
"sub-007",11,"left","accuracy","left","left",1,1.12236899699201
"sub-007",12,"right","accuracy","right","right",1,2.17497823099256
"sub-007",13,"left","accuracy","left","left",1,0.760700985003496
"sub-007",14,"right","accuracy","right","right",1,0.464549559022998
"sub-007",15,"right","accuracy","right","left",0,0.528865086991573
"sub-007",16,"left","accuracy","left","right",0,0.745174764015246
"sub-007",17,"left","accuracy","left","right",0,0.80906327298726
"sub-007",18,"right","accuracy","right","right",1,0.783103879977716
"sub-007",19,"left","accuracy","left","left",1,0.828258284978801
"sub-007",20,"right","accuracy","right","right",1,1.16931571799796
"sub-007",21,"right","accuracy","right","right",1,0.778790004987968
"sub-007",22,"left","accuracy","left","left",1,0.635593277023872
"sub-007",23,"right","accuracy","right","left",0,0.778476703009801
"sub-007",24,"left","accuracy","left","right",0,0.752165522018913
"sub-007",25,"right","accuracy","right","right",1,1.08179215699784
"sub-007",26,"left","accuracy","left","left",1,0.728927620017203
"sub-007",27,"left","accuracy","left","right",0,0.641003390977858
"sub-007",28,"right","accuracy","right","right",1,1.388255672995
"sub-007",29,"right","accuracy","right","right",1,2.89718109698151
"sub-007",30,"left","accuracy","left","left",1,0.72191637699143
"sub-007",31,"left","accuracy","left","left",1,1.93180503000622
"sub-007",32,"right","accuracy","right","right",1,0.760115130018676
"sub-007",33,"right","accuracy","right","right",1,1.11376074401778
"sub-007",34,"left","accuracy","left","left",1,0.998034304997418
"sub-007",35,"left","accuracy","left","left",1,1.0802933749801
"sub-007",36,"right","accuracy","right","left",0,0.665120858990122
"sub-007",37,"right","accuracy","right","left",0,0.918276794982376
"sub-007",38,"left","accuracy","left","right",0,0.736897949012928
"sub-007",39,"right","accuracy","right","left",0,0.660746515000938
"sub-007",40,"left","accuracy","left","left",1,0.77087768597994
"sub-007",41,"right","accuracy","right","right",1,0.644622527994215
"sub-007",42,"left","accuracy","left","left",1,0.698425273993053
"sub-007",43,"right","accuracy","right","left",0,1.26995168300346
"sub-007",44,"left","accuracy","left","left",1,0.754795821994776
"sub-007",45,"right","accuracy","right","right",1,0.814657156006433
"sub-007",46,"left","accuracy","left","left",1,0.7368469699868
"sub-007",47,"right","accuracy","right","right",1,0.691123775002779
"sub-007",48,"left","accuracy","left","left",1,1.50093916399055
"sub-007",49,"left","accuracy","left","left",1,1.39507090800907
"sub-007",50,"right","accuracy","right","left",0,0.931093757011695
"sub-007",51,"right","accuracy","right","right",1,1.28802526497748
"sub-007",52,"left","accuracy","left","right",0,1.81951521898736
"sub-007",53,"left","accuracy","left","right",0,1.44935832801275
"sub-007",54,"right","accuracy","right","left",0,1.43031167201116
"sub-007",55,"right","accuracy","right","right",1,3.6393063889991
"sub-007",56,"left","accuracy","left","left",1,1.34494954900583
"sub-007",57,"left","accuracy","left","left",1,1.15890724898782
"sub-007",58,"right","accuracy","right","right",1,0.988665112003218
"sub-007",59,"right","accuracy","right","left",0,3.96716987699619
"sub-007",60,"left","accuracy","left","left",1,1.55518705901341
"sub-010",1,"left","accuracy","left","left",1,1.15697604099842
"sub-010",2,"right","accuracy","right","right",1,0.577911207998113
"sub-010",3,"right","accuracy","right","right",1,0.75199249999423
"sub-010",4,"left","accuracy","left","left",1,0.623700000003737
"sub-010",5,"left","accuracy","left","left",1,1.14161991699802
"sub-010",6,"right","accuracy","right","right",1,0.577419416993507
"sub-010",7,"right","accuracy","right","right",1,2.61629312500008
"sub-010",8,"left","accuracy","left","left",1,0.687952249994851
"sub-010",9,"right","accuracy","right","right",1,0.658871125000587
"sub-010",10,"left","accuracy","left","left",1,0.646577666004305
"sub-010",11,"left","accuracy","left","left",1,1.85639645800256
"sub-010",12,"right","accuracy","right","right",1,0.667708084001788
"sub-010",13,"right","accuracy","right","right",1,1.35109195800032
"sub-010",14,"left","accuracy","left","left",1,1.41691333299968
"sub-010",15,"left","accuracy","left","left",1,1.04523137499928
"sub-010",16,"right","accuracy","right","right",1,0.684013457997935
"sub-010",17,"right","accuracy","right","right",1,1.56391870899824
"sub-010",18,"left","accuracy","left","left",1,0.695726291000028
"sub-010",19,"right","accuracy","right","right",1,1.57907429100305
"sub-010",20,"left","accuracy","left","left",1,0.715864541998599
"sub-010",21,"right","accuracy","right","right",1,1.53490845899796
"sub-010",22,"left","accuracy","left","left",1,0.816695041998173
"sub-010",23,"left","accuracy","left","left",1,0.71694587499951
"sub-010",24,"right","accuracy","right","right",1,1.04080683299981
"sub-010",25,"right","accuracy","right","right",1,1.61053350000293
"sub-010",26,"left","accuracy","left","left",1,0.685439749999205
"sub-010",27,"left","accuracy","left","left",1,1.64150120900013
"sub-010",28,"right","accuracy","right","right",1,0.667966333006916
"sub-010",29,"left","accuracy","left","left",1,0.775783334000153
"sub-010",30,"right","accuracy","right","right",1,0.709403166001721
"sub-010",31,"right","accuracy","right","right",1,1.09159758299938
"sub-010",32,"left","accuracy","left","left",1,0.601010749996931
"sub-010",33,"right","accuracy","right","right",1,0.666351167004905
"sub-010",34,"left","accuracy","left","left",1,0.699671334004961
"sub-010",35,"right","accuracy","right","right",1,1.33515629199974
"sub-010",36,"left","accuracy","left","left",1,0.620285584001977
"sub-010",37,"right","accuracy","right","right",1,0.720052208002016
"sub-010",38,"left","accuracy","left","left",1,0.729678625000815
"sub-010",39,"left","accuracy","left","left",1,1.76673412499804
"sub-010",40,"right","accuracy","right","right",1,1.4146093330055
"sub-010",41,"left","accuracy","left","left",1,1.14310645800288
"sub-010",42,"right","accuracy","right","right",1,0.806194832999608
"sub-010",43,"right","accuracy","right","right",1,1.50698795900098
"sub-010",44,"left","accuracy","left","left",1,0.857460708000872
"sub-010",45,"right","accuracy","right","right",1,0.815706916000636
"sub-010",46,"left","accuracy","left","left",1,0.690279082999041
"sub-010",47,"right","accuracy","right","right",1,1.16713887500373
"sub-010",48,"left","accuracy","left","left",1,0.691325583000435
"sub-010",49,"right","accuracy","right","right",1,1.41488775000471
"sub-010",50,"left","accuracy","left","left",1,0.869585292006377
"sub-010",51,"right","accuracy","right","right",1,1.3163062080057
"sub-010",52,"left","accuracy","left","left",1,0.580214249996061
"sub-010",53,"left","accuracy","left","left",1,0.778588041001058
"sub-010",54,"right","accuracy","right","right",1,0.770810624999285
"sub-010",55,"left","accuracy","left","left",1,1.19083420899551
"sub-010",56,"right","accuracy","right","right",1,0.71735500000068
"sub-010",57,"right","accuracy","right","right",1,1.33307804099604
"sub-010",58,"left","accuracy","left","left",1,1.16128929200204
"sub-010",59,"right","accuracy","right","right",1,1.00313358400308
"sub-010",60,"left","accuracy","left","left",1,1.08353841699864
"sub-010",1,"left","speed","left","left",1,0.648995374998776
"sub-010",2,"right","speed","right","right",1,0.573302458004036
"sub-010",3,"left","speed","left","left",1,0.58302654200088
"sub-010",4,"right","speed","right","right",1,0.616665165995073
"sub-010",5,"left","speed","left","left",1,0.658454749995144
"sub-010",6,"right","speed","right","right",1,0.559519832997466
"sub-010",7,"left","speed","left","left",1,0.513173958002881
"sub-010",8,"right","speed","right","right",1,0.809916332997091
"sub-010",9,"left","speed","left","left",1,0.545942749995447
"sub-010",10,"right","speed","right","right",1,0.608565665999777
"sub-010",11,"left","speed","left","left",1,0.623576457997842
"sub-010",12,"right","speed","right","right",1,0.646297833001881
"sub-010",13,"right","speed","right","right",1,0.72472379199462
"sub-010",14,"left","speed","left","left",1,0.567857750000258
"sub-010",15,"right","speed","right","right",1,0.72375791700324
"sub-010",16,"left","speed","left","left",1,0.807846458003041
"sub-010",17,"left","speed","left","left",1,0.497307290999743
"sub-010",18,"right","speed","right","right",1,0.568700165997143
"sub-010",19,"left","speed","left","left",1,0.606313875003252
"sub-010",20,"right","speed","right","right",1,0.767054167001334
"sub-010",21,"left","speed","left","left",1,0.499691541001084
"sub-010",22,"right","speed","right","right",1,0.588943458002177
"sub-010",23,"left","speed","left","left",1,0.466874625002674
"sub-010",24,"right","speed","right","right",1,0.852563832995656
"sub-010",25,"right","speed","right","right",1,0.617034167000384
"sub-010",26,"left","speed","left","left",1,0.482602291005605
"sub-010",27,"right","speed","right","right",1,0.536699457996292
"sub-010",28,"left","speed","left","left",1,0.420480249995307
"sub-010",29,"right","speed","right","right",1,0.601165834006679
"sub-010",30,"left","speed","left","left",1,0.612523582996801
"sub-010",31,"left","speed","left","left",1,0.657188791999943
"sub-010",32,"right","speed","right","right",1,0.772390125006496
"sub-010",33,"right","speed","right","right",1,0.811103625004762
"sub-010",34,"left","speed","left","left",1,0.507055834001221
"sub-010",35,"left","speed","left","left",1,0.6172059169985
"sub-010",36,"right","speed","right","right",1,1.00401237500046
"sub-010",37,"left","speed","left","left",1,0.774426333999145
"sub-010",38,"right","speed","right","right",1,0.573630665996461
"sub-010",39,"left","speed","left","left",1,1.07431395899766
"sub-010",40,"right","speed","right","right",1,0.623920874997566
"sub-010",41,"left","speed","left","left",1,0.593138416996226
"sub-010",42,"right","speed","right","right",1,0.61329066700273
"sub-010",43,"left","speed","left","left",1,0.499979375003022
"sub-010",44,"right","speed","right","right",1,0.916171290999046
"sub-010",45,"right","speed","right","right",1,0.647794541997428
"sub-010",46,"left","speed","left","left",1,0.565873209001438
"sub-010",47,"left","speed","left","left",1,0.925501708006777
"sub-010",48,"right","speed","right","right",1,0.473701750001055
"sub-010",49,"right","speed","right","right",1,0.573351166000066
"sub-010",50,"left","speed","left","left",1,0.506489457999123
"sub-010",51,"right","speed","right","right",1,0.642087958003685
"sub-010",52,"left","speed","left","left",1,0.470533250001608
"sub-010",53,"right","speed","right","right",1,0.626295957998082
"sub-010",54,"left","speed","left","left",1,0.533165958993777
"sub-010",55,"left","speed","left","left",1,0.580652374999772
"sub-010",56,"right","speed","right","right",1,0.696102624999185
"sub-010",57,"right","speed","right","right",1,0.742802708999079
"sub-010",58,"left","speed","left","left",1,0.538593333003519
"sub-010",59,"right","speed","right","right",1,0.662001958000474
"sub-010",60,"left","speed","left","left",1,0.635729374997027
"sub-011",1,"right","accuracy","right","right",1,1.3711006659978
"sub-011",2,"left","accuracy","left","left",1,2.65922583299835
"sub-011",3,"right","accuracy","right","right",1,2.53305954100142
"sub-011",4,"left","accuracy","left","left",1,0.43567987500137
"sub-011",5,"left","accuracy","left","right",0,3.79218750000291
"sub-011",6,"right","accuracy","right","left",0,2.97114808400147
"sub-011",7,"right","accuracy","right","right",1,1.04203004200099
"sub-011",8,"left","accuracy","left","left",1,0.826878542000486
"sub-011",9,"right","accuracy","right","right",1,0.692102542001521
"sub-011",10,"left","accuracy","left","left",1,0.576209584000026
"sub-011",11,"left","accuracy","left","right",0,2.90719854199779
"sub-011",12,"right","accuracy","right","right",1,1.73504366699854
"sub-011",13,"left","accuracy","left","left",1,0.611740500000451
"sub-011",14,"right","accuracy","right","right",1,0.740314165999735
"sub-011",15,"left","accuracy","left","left",1,0.64394404199993
"sub-011",16,"right","accuracy","right","right",1,0.610294707999856
"sub-011",17,"left","accuracy","left","left",1,0.623682833000203
"sub-011",18,"right","accuracy","right","right",1,0.545311334000871
"sub-011",19,"left","accuracy","left","left",1,0.475175999999919
"sub-011",20,"right","accuracy","right","right",1,0.479390832999343
"sub-011",21,"right","accuracy","right","right",1,0.534500999998272
"sub-011",22,"left","accuracy","left","left",1,0.472077791000629
"sub-011",23,"left","accuracy","left","left",1,0.640542917000857
"sub-011",24,"right","accuracy","right","right",1,0.757618332998391
"sub-011",25,"right","accuracy","right","right",1,2.15178779100097
"sub-011",26,"left","accuracy","left","left",1,0.541575082999771
"sub-011",27,"right","accuracy","right","right",1,0.582432166000217
"sub-011",28,"left","accuracy","left","left",1,0.462194499999896
"sub-011",29,"right","accuracy","right","right",1,0.500882917000126
"sub-011",30,"left","accuracy","left","right",0,2.88795779200154
"sub-011",31,"right","accuracy","right","right",1,1.37019566599702
"sub-011",32,"left","accuracy","left","left",1,0.457152041999507
"sub-011",33,"left","accuracy","left","left",1,1.27537187500275
"sub-011",34,"right","accuracy","right","right",1,2.21373333300289
"sub-011",35,"right","accuracy","right","right",1,2.16906645800191
"sub-011",36,"left","accuracy","left","left",1,1.8140035840006
"sub-011",37,"right","accuracy","right","right",1,0.877717667000979
"sub-011",38,"left","accuracy","left","left",1,1.21732308300125
"sub-011",39,"left","accuracy","left","right",0,2.90205662500011
"sub-011",40,"right","accuracy","right","right",1,1.99452945799931
"sub-011",41,"left","accuracy","left","left",1,1.46132524999848
"sub-011",42,"right","accuracy","right","right",1,0.907547291997616
"sub-011",43,"right","accuracy","right","right",1,0.918657707999955
"sub-011",44,"left","accuracy","left","left",1,0.781932709000102
"sub-011",45,"right","accuracy","right","right",1,0.880730959001085
"sub-011",46,"left","accuracy","left","left",1,0.789697708001768
"sub-011",47,"right","accuracy","right","right",1,0.786338624999189
"sub-011",48,"left","accuracy","left","left",1,0.784676415998547
"sub-011",49,"left","accuracy","left","left",1,2.02975333300128
"sub-011",50,"right","accuracy","right","right",1,2.44093995900039
"sub-011",51,"left","accuracy","left","left",1,0.751202082999953
"sub-011",52,"right","accuracy","right","right",1,0.860062165997078
"sub-011",53,"left","accuracy","left","left",1,0.938051165998331
"sub-011",54,"right","accuracy","right","right",1,0.705323124999268
"sub-011",55,"right","accuracy","right","right",1,1.75756683300278
"sub-011",56,"left","accuracy","left","left",1,0.91901295900243
"sub-011",57,"right","accuracy","right","right",1,1.38995500000237
"sub-011",58,"left","accuracy","left","left",1,1.42441233300269
"sub-011",59,"right","accuracy","right","right",1,2.95081645800019
"sub-011",60,"left","accuracy","left","left",1,1.20246070800204
"sub-011",1,"right","speed","right","right",1,0.469695916999626
"sub-011",2,"left","speed","left","left",1,0.352859875001741
"sub-011",3,"left","speed","left","left",1,0.528550458002428
"sub-011",4,"right","speed","right","right",1,0.50824854199891
"sub-011",5,"right","speed","right","left",0,0.624127750001207
"sub-011",6,"left","speed","left","left",1,0.491351792003115
"sub-011",7,"right","speed","right","right",1,0.501433749999705
"sub-011",8,"left","speed","left","left",1,0.459383708999667
"sub-011",9,"right","speed","right","right",1,0.490387708003254
"sub-011",10,"left","speed","left","left",1,0.434907750001003
"sub-011",11,"left","speed","left","right",0,0.30804579100004
"sub-011",12,"right","speed","right","right",1,0.435533750001923
"sub-011",13,"right","speed","right","right",1,0.527454582999781
"sub-011",14,"left","speed","left","left",1,0.413426208000601
"sub-011",15,"left","speed","left","left",1,0.376371708000079
"sub-011",16,"right","speed","right","right",1,0.463100667002436
"sub-011",17,"left","speed","left","left",1,0.418734915998357
"sub-011",18,"right","speed","right","right",1,0.420779916999891
"sub-011",19,"left","speed","left","left",1,0.494152374998521
"sub-011",20,"right","speed","right","right",1,0.793473916997755
"sub-011",21,"left","speed","left","left",1,0.919515665998915
"sub-011",22,"right","speed","right","right",1,0.505284417002258
"sub-011",23,"right","speed","right","right",1,1.22181116600041
"sub-011",24,"left","speed","left","right",0,0.532894416002819
"sub-011",25,"left","speed","left","left",1,0.449628125003073
"sub-011",26,"right","speed","right","right",1,0.537039209000795
"sub-011",27,"left","speed","left","left",1,0.767150958999991
"sub-011",28,"right","speed","right","right",1,0.440080000000307
"sub-011",29,"left","speed","left","right",0,0.873698750001495
"sub-011",30,"right","speed","right","right",1,0.582375207999576
"sub-011",31,"left","speed","left","left",1,0.562505334000889
"sub-011",32,"right","speed","right","right",1,0.559898625000642
"sub-011",33,"left","speed","left","left",1,0.456136250002601
"sub-011",34,"right","speed","right","right",1,0.392129791998741
"sub-011",35,"right","speed","right","right",1,0.475797708997561
"sub-011",36,"left","speed","left","left",1,1.6142034580007
"sub-011",37,"left","speed","left","left",1,0.882355333000305
"sub-011",38,"right","speed","right","right",1,0.528686665998976
"sub-011",39,"left","speed","left","left",1,0.301848625000275
"sub-011",40,"right","speed","right","right",1,0.416106542001216
"sub-011",41,"right","speed","right","right",1,0.607003500001156
"sub-011",42,"left","speed","left","left",1,0.452395834003255
"sub-011",43,"right","speed","right","right",1,0.410857333001331
"sub-011",44,"left","speed","left","left",1,0.405848291000439
"sub-011",45,"right","speed","right","right",1,0.508302166999783
"sub-011",46,"left","speed","left","left",1,0.428649959001632
"sub-011",47,"left","speed","left","left",1,0.51502920799976
"sub-011",48,"right","speed","right","right",1,0.523523708001449
"sub-011",49,"left","speed","left","left",1,0.390188875000604
"sub-011",50,"right","speed","right","right",1,0.40590924999924
"sub-011",51,"left","speed","left","left",1,0.395109207998757
"sub-011",52,"right","speed","right","right",1,0.43990174999999
"sub-011",53,"right","speed","right","right",1,0.406401083000674
"sub-011",54,"left","speed","left","left",1,0.346774666999409
"sub-011",55,"right","speed","right","right",1,0.442779790999339
"sub-011",56,"left","speed","left","right",0,0.983944041003269
"sub-011",57,"right","speed","right","left",0,0.348160083998664
"sub-011",58,"left","speed","left","left",1,0.609213167001144
"sub-011",59,"left","speed","left","left",1,0.535109708998789
"sub-011",60,"right","speed","right","right",1,0.411681292000139
"sub-012",1,"right","speed","right","right",1,1.48891645800904
"sub-012",2,"left","speed","left","left",1,0.532754750005552
"sub-012",3,"left","speed","left","left",1,0.659380249999231
"sub-012",4,"right","speed","right","right",1,1.14081395800167
"sub-012",5,"left","speed","left","left",1,1.11800149999908
"sub-012",6,"right","speed","right","left",0,0.941995791989029
"sub-012",7,"right","speed","right","right",1,1.10224395799742
"sub-012",8,"left","speed","left","left",1,0.607289457999286
"sub-012",9,"right","speed","right","right",1,0.654044875002
"sub-012",10,"left","speed","left","left",1,0.846845416992437
"sub-012",11,"right","speed","right","right",1,0.722966666013235
"sub-012",12,"left","speed","left","left",1,0.499533459005761
"sub-012",13,"right","speed","right","right",1,0.512025582997012
"sub-012",14,"left","speed","left","left",1,0.54635629200493
"sub-012",15,"right","speed","right","right",1,0.500116292008897
"sub-012",16,"left","speed","left","left",1,0.539065290999133
"sub-012",17,"right","speed","right","right",1,0.42884433400468
"sub-012",18,"left","speed","left","left",1,0.506799208000302
"sub-012",19,"right","speed","right","right",1,0.590747666996322
"sub-012",20,"left","speed","left","left",1,0.530163667004672
"sub-012",21,"right","speed","right","right",1,0.735343708001892
"sub-012",22,"left","speed","left","left",1,0.431121708999854
"sub-012",23,"left","speed","left","left",1,0.540321583001059
"sub-012",24,"right","speed","right","right",1,0.383370541996555
"sub-012",25,"right","speed","right","right",1,0.755783250002423
"sub-012",26,"left","speed","left","left",1,0.390238292005961
"sub-012",27,"right","speed","right","right",1,0.466916207995382
"sub-012",28,"left","speed","left","left",1,0.366247375000967
"sub-012",29,"right","speed","right","right",1,0.409555790989543
"sub-012",30,"left","speed","left","left",1,0.484815666000941
"sub-012",31,"left","speed","left","left",1,0.67293441700167
"sub-012",32,"right","speed","right","right",1,0.372156583005562
"sub-012",33,"right","speed","right","right",1,0.796263417010778
"sub-012",34,"left","speed","left","left",1,0.406928875003359
"sub-012",35,"left","speed","left","left",1,0.890164333002758
"sub-012",36,"right","speed","right","right",1,0.52633095899364
"sub-012",37,"right","speed","right","right",1,0.489448874999653
"sub-012",38,"left","speed","left","left",1,0.399846750005963
"sub-012",39,"right","speed","right","right",1,0.564988833008101
"sub-012",40,"left","speed","left","left",1,0.56846266699722
"sub-012",41,"right","speed","right","right",1,0.629196916997898
"sub-012",42,"left","speed","left","left",1,0.388631750000059
"sub-012",43,"left","speed","left","left",1,0.830662166001275
"sub-012",44,"right","speed","right","right",1,0.767260084001464
"sub-012",45,"right","speed","right","right",1,0.725176040999941
"sub-012",46,"left","speed","left","left",1,0.464643416999024
"sub-012",47,"right","speed","right","right",1,0.486711290999665
"sub-012",48,"left","speed","left","left",1,0.856056499993429
"sub-012",49,"left","speed","left","left",1,0.973316457995679
"sub-012",50,"right","speed","right","right",1,1.62767254200298
"sub-012",51,"right","speed","right","right",1,1.86757858400233
"sub-012",52,"left","speed","left","left",1,0.46069529200031
"sub-012",53,"right","speed","right","right",1,0.51240287499968
"sub-012",54,"left","speed","left","left",1,0.513235291000456
"sub-012",55,"right","speed","right","right",1,0.453127208995284
"sub-012",56,"left","speed","left","left",1,0.489347499998985
"sub-012",57,"right","speed","right","right",1,0.490987040990149
"sub-012",58,"left","speed","left","left",1,0.478575540997554
"sub-012",59,"right","speed","right","right",1,0.482856125003309
"sub-012",60,"left","speed","left","left",1,0.398133750000852
"sub-012",1,"left","accuracy","left","left",1,2.44092533299408
"sub-012",2,"right","accuracy","right","right",1,0.492642167009762
"sub-012",3,"right","accuracy","right","left",0,0.467672083002981
"sub-012",4,"left","accuracy","left","left",1,0.530018083998584
"sub-012",5,"right","accuracy","right","right",1,0.516217750002397
"sub-012",6,"left","accuracy","left","left",1,0.570182541006943
"sub-012",7,"right","accuracy","right","right",1,1.12248308300332
"sub-012",8,"left","accuracy","left","left",1,0.601853375002975
"sub-012",9,"left","accuracy","left","left",1,2.78092283399019
"sub-012",10,"right","accuracy","right","right",1,1.25331200000073
"sub-012",11,"left","accuracy","left","left",1,0.69474729099602
"sub-012",12,"right","accuracy","right","right",1,0.630777292011771
"sub-012",13,"right","accuracy","right","right",1,0.869937916999334
"sub-012",14,"left","accuracy","left","left",1,0.505743625006289
"sub-012",15,"right","accuracy","right","right",1,0.533233082998777
"sub-012",16,"left","accuracy","left","left",1,0.506317916995613
"sub-012",17,"right","accuracy","right","right",1,0.945105083999806
"sub-012",18,"left","accuracy","left","left",1,0.418069332998129
"sub-012",19,"right","accuracy","right","right",1,0.683054334003828
"sub-012",20,"left","accuracy","left","left",1,0.418213875003857
"sub-012",21,"right","accuracy","right","right",1,0.437172208010452
"sub-012",22,"left","accuracy","left","left",1,0.483062790997792
"sub-012",23,"right","accuracy","right","right",1,0.53466250000929
"sub-012",24,"left","accuracy","left","left",1,0.284110458000214
"sub-012",25,"left","accuracy","left","left",1,0.722251249986584
"sub-012",26,"right","accuracy","right","right",1,0.406963625006028
"sub-012",27,"left","accuracy","left","left",1,0.672647917002905
"sub-012",28,"right","accuracy","right","right",1,0.398695166994003
"sub-012",29,"left","accuracy","left","left",1,0.45890800000052
"sub-012",30,"right","accuracy","right","right",1,0.35759779199725
"sub-012",31,"right","accuracy","right","right",1,0.692360333006945
"sub-012",32,"left","accuracy","left","left",1,0.400639542000135
"sub-012",33,"right","accuracy","right","right",1,0.296022250011447
"sub-012",34,"left","accuracy","left","left",1,0.519193291998818
"sub-012",35,"left","accuracy","left","left",1,0.556451041993569
"sub-012",36,"right","accuracy","right","right",1,0.3497424590023
"sub-012",37,"right","accuracy","right","right",1,0.83116895800049
"sub-012",38,"left","accuracy","left","left",1,0.460850834002485
"sub-012",39,"left","accuracy","left","right",0,0.437622957993881
"sub-012",40,"right","accuracy","right","right",1,0.669069042007322
"sub-012",41,"right","accuracy","right","right",1,0.711620417001541
"sub-012",42,"left","accuracy","left","left",1,0.716113000002224
"sub-012",43,"right","accuracy","right","right",1,0.526903374993708
"sub-012",44,"left","accuracy","left","left",1,0.434175791990128
"sub-012",45,"left","accuracy","left","left",1,0.446191374998307
"sub-012",46,"right","accuracy","right","right",1,0.506535541993799
"sub-012",47,"right","accuracy","right","right",1,0.490749249991495
"sub-012",48,"left","accuracy","left","left",1,0.333935457994812
"sub-012",49,"right","accuracy","right","right",1,0.48711495900352
"sub-012",50,"left","accuracy","left","left",1,0.534739291993901
"sub-012",51,"right","accuracy","right","right",1,0.329828750007437
"sub-012",52,"left","accuracy","left","left",1,0.511800499996752
"sub-012",53,"left","accuracy","left","left",1,0.495169292000355
"sub-012",54,"right","accuracy","right","right",1,0.340651374994195
"sub-012",55,"right","accuracy","right","right",1,0.597471332992427
"sub-012",56,"left","accuracy","left","left",1,0.393336749999435
"sub-012",57,"right","accuracy","right","right",1,0.37621712499822
"sub-012",58,"left","accuracy","left","left",1,0.433943374999217
"sub-012",59,"right","accuracy","right","right",1,0.541981458009104
"sub-012",60,"left","accuracy","left","left",1,0.494441457994981
"sub-015",1,"right","accuracy","right","left",0,2.00195853000332
